tree_id,block_id,spc_latin,spc_common,address1,address2,address3,address4,nta_name,latitude,longitude,x_sp,y_sp
148520,108986,Gleditsia triacanthos var. inermis,honeylocust,45,CENTRAL,PARK,NORTH,Central Harlem South,40.79796229,-73.95163207,997641.7918,229999.8527
148521,108986,Ginkgo biloba,ginkgo,45,CENTRAL,PARK,NORTH,Central Harlem South,40.79799623,-73.9517122,997619.5992,230012.208
140785,111816,Ginkgo biloba,ginkgo,55,CENTRAL,PARK,NORTH,Central Harlem South,40.79794521,-73.95196138,997550.6181,229993.5817
148524,108986,Ginkgo biloba,ginkgo,55,CENTRAL,PARK,NORTH,Central Harlem South,40.79809206,-73.95193839,997556.954,230047.0856
148522,108986,Gleditsia triacanthos var. inermis,honeylocust,55,CENTRAL,PARK,NORTH,Central Harlem South,40.79802925,-73.95179012,997598.0186,230024.2234
148525,108986,Ginkgo biloba,ginkgo,55,CENTRAL,PARK,NORTH,Central Harlem South,40.79812239,-73.95201,997537.1204,230058.1275
148523,108986,Ginkgo biloba,ginkgo,55,CENTRAL,PARK,NORTH,Central Harlem South,40.79805784,-73.95185763,997579.3211,230034.6328
148526,108986,Zelkova serrata,Japanese zelkova,55,CENTRAL,PARK,NORTH,Central Harlem South,40.79815233,-73.95208067,997517.5492,230069.0242
140784,111816,Ginkgo biloba,ginkgo,55,CENTRAL,PARK,NORTH,Central Harlem South,40.79795402,-73.95205287,997525.2858,229996.7759
140783,111816,Ginkgo biloba,ginkgo,55,CENTRAL,PARK,NORTH,Central Harlem South,40.79801214,-73.95211986,997506.7248,230017.9416
140782,111816,Ginkgo biloba,ginkgo,55,CENTRAL,PARK,NORTH,Central Harlem South,40.79802001,-73.95220914,997482.0044,230020.7962
140781,111816,Ginkgo biloba,ginkgo,55,CENTRAL,PARK,NORTH,Central Harlem South,40.79807947,-73.9522793,997462.569,230042.4471
6870,108987,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79867265,-73.95331519,997175.6438,230258.4086
6869,108987,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79864093,-73.95324004,997196.4567,230246.8644
6866,108987,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79848235,-73.95286429,997300.5208,230189.144
6867,108987,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79851407,-73.95293944,997279.7079,230200.6879
140297,111817,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79842675,-73.95319708,997208.3907,230168.8366
140299,111817,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79836301,-73.95304742,997249.8401,230145.6375
140301,111817,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79829834,-73.95289555,997291.9007,230122.0972
140303,111817,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79823621,-73.95274968,997332.3029,230099.4841
140300,111817,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79835503,-73.9529585,997274.4628,230142.7432
140295,111817,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.7984929,-73.95335242,997165.3705,230192.9143
140294,111817,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79855187,-73.95342071,997146.4496,230214.391
140298,111817,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79841971,-73.95311036,997232.4025,230166.2841
140302,111817,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79828902,-73.95280348,997317.3961,230118.714
140296,111817,Ginkgo biloba,ginkgo,123,CENTRAL,PARK,NORTH,Central Harlem South,40.79848385,-73.95326097,997190.6913,230189.6292
6871,108987,Ginkgo biloba,ginkgo,131,CENTRAL,PARK,NORTH,Central Harlem South,40.79870596,-73.95339413,997153.7816,230270.5349
6873,108987,Ginkgo biloba,ginkgo,131,CENTRAL,PARK,NORTH,Central Harlem South,40.79877473,-73.95355705,997108.658,230295.5637
6875,108987,Ginkgo biloba,ginkgo,131,CENTRAL,PARK,NORTH,Central Harlem South,40.79884309,-73.95371904,997063.7972,230320.4466
6874,108987,Ginkgo biloba,ginkgo,131,CENTRAL,PARK,NORTH,Central Harlem South,40.7988135,-73.95364894,997083.2105,230309.6782
6872,108987,Ginkgo biloba,ginkgo,131,CENTRAL,PARK,NORTH,Central Harlem South,40.79873821,-73.95347054,997132.6192,230282.2731
140291,111817,Ginkgo biloba,ginkgo,131,CENTRAL,PARK,NORTH,Central Harlem South,40.79862547,-73.95366372,997079.1554,230241.1678
140293,111817,Ginkgo biloba,ginkgo,131,CENTRAL,PARK,NORTH,Central Harlem South,40.79855757,-73.95350429,997123.3099,230216.455
140289,111817,Ginkgo biloba,ginkgo,131,CENTRAL,PARK,NORTH,Central Harlem South,40.79868813,-73.95381086,997038.4039,230263.9759
140290,111817,Ginkgo biloba,ginkgo,131,CENTRAL,PARK,NORTH,Central Harlem South,40.798678,-73.95371689,997064.4229,230260.3004
140292,111817,Ginkgo biloba,ginkgo,131,CENTRAL,PARK,NORTH,Central Harlem South,40.79861386,-73.95356628,997106.1344,230236.9546
6878,108987,Ginkgo biloba,ginkgo,137,CENTRAL,PARK,NORTH,Central Harlem South,40.7989353,-73.95393754,997003.2822,230354.0118
6880,108987,Ginkgo biloba,ginkgo,137,CENTRAL,PARK,NORTH,Central Harlem South,40.79899873,-73.95408784,996961.6567,230377.1
6876,108987,Ginkgo biloba,ginkgo,137,CENTRAL,PARK,NORTH,Central Harlem South,40.798874,-73.95379229,997043.5089,230331.6995
6877,108987,Ginkgo biloba,ginkgo,137,CENTRAL,PARK,NORTH,Central Harlem South,40.79890305,-73.95386113,997024.4449,230342.2736
6879,108987,Ginkgo biloba,ginkgo,137,CENTRAL,PARK,NORTH,Central Harlem South,40.79896595,-73.95401016,996983.1691,230365.1676
140284,111817,Ginkgo biloba,ginkgo,137,CENTRAL,PARK,NORTH,Central Harlem South,40.7988837,-73.95419991,996930.6498,230335.1713
140285,111817,Ginkgo biloba,ginkgo,137,CENTRAL,PARK,NORTH,Central Harlem South,40.79882888,-73.95414138,996946.8657,230315.2087
140286,111817,Ginkgo biloba,ginkgo,137,CENTRAL,PARK,NORTH,Central Harlem South,40.79881956,-73.9540493,996972.3614,230311.8258
140287,111817,Ginkgo biloba,ginkgo,137,CENTRAL,PARK,NORTH,Central Harlem South,40.79876421,-73.95398951,996988.926,230291.6681
140288,111817,Ginkgo biloba,ginkgo,137,CENTRAL,PARK,NORTH,Central Harlem South,40.79874684,-73.95387853,997019.6572,230285.3551
6881,108987,Ginkgo biloba,ginkgo,141,CENTRAL,PARK,NORTH,Central Harlem South,40.79902139,-73.95414152,996946.7905,230385.346
6882,108987,Ginkgo biloba,ginkgo,141,CENTRAL,PARK,NORTH,Central Harlem South,40.7990627,-73.9542394,996919.6813,230400.3824
6883,108987,Ginkgo biloba,ginkgo,141,CENTRAL,PARK,NORTH,Central Harlem South,40.79909868,-73.95432466,996896.0702,230413.4785
140282,111817,Ginkgo biloba,ginkgo,141,CENTRAL,PARK,NORTH,Central Harlem South,40.79894515,-73.95434422,996890.6837,230357.5397
140281,111817,Ginkgo biloba,ginkgo,141,CENTRAL,PARK,NORTH,Central Harlem South,40.79895058,-73.95442716,996867.7188,230359.5062
140283,111817,Ginkgo biloba,ginkgo,141,CENTRAL,PARK,NORTH,Central Harlem South,40.79889288,-73.95429167,996905.2417,230338.5049
6885,108987,Ginkgo biloba,ginkgo,145,CENTRAL,PARK,NORTH,Central Harlem South,40.79916424,-73.95448001,996853.0453,230437.343
6884,108987,Ginkgo biloba,ginkgo,145,CENTRAL,PARK,NORTH,Central Harlem South,40.79913412,-73.95440865,996872.8091,230426.3811
6887,108987,Ginkgo biloba,ginkgo,145,CENTRAL,PARK,NORTH,Central Harlem South,40.79923327,-73.95464357,996807.7469,230462.4686
6886,108987,Platanus x acerifolia,London planetree,145,CENTRAL,PARK,NORTH,Central Harlem South,40.79920022,-73.95456527,996829.4341,230450.4391
140280,111817,Ginkgo biloba,ginkgo,145,CENTRAL,PARK,NORTH,Central Harlem South,40.7990058,-73.95448663,996851.2415,230379.6154
140279,111817,Ginkgo biloba,ginkgo,145,CENTRAL,PARK,NORTH,Central Harlem South,40.79901378,-73.95457556,996826.6185,230382.5098
140278,111817,Ginkgo biloba,ginkgo,145,CENTRAL,PARK,NORTH,Central Harlem South,40.79907208,-73.95464229,996808.1337,230403.742
140277,111817,Ginkgo biloba,ginkgo,145,CENTRAL,PARK,NORTH,Central Harlem South,40.799081,-73.95473342,996782.9001,230406.9782
6888,108987,Platanus x acerifolia,London planetree,153,CENTRAL,PARK,NORTH,Central Harlem South,40.79933201,-73.95487755,996742.9474,230498.4104
6889,108987,Ginkgo biloba,ginkgo,153,CENTRAL,PARK,NORTH,Central Harlem South,40.79937225,-73.95497291,996716.538,230513.0587
140275,111817,Ginkgo biloba,ginkgo,153,CENTRAL,PARK,NORTH,Central Harlem South,40.799145,-73.95488371,996741.2762,230430.2748
140276,111817,Ginkgo biloba,ginkgo,153,CENTRAL,PARK,NORTH,Central Harlem South,40.7991346,-73.95478912,996767.4697,230426.5011
140273,111817,Ginkgo biloba,ginkgo,153,CENTRAL,PARK,NORTH,Central Harlem South,40.79921021,-73.95503685,996698.8665,230454.0106
140274,111817,Ginkgo biloba,ginkgo,153,CENTRAL,PARK,NORTH,Central Harlem South,40.79920156,-73.95494634,996723.9258,230450.8722
187482,111818,Ginkgo biloba,ginkgo,201,CENTRAL,PARK,NORTH,Central Harlem South,40.79954743,-73.95583742,996477.152,230576.759
